id,uuid,name,category,equipment,muscles_primary,muscles_secondary,license,description_html
31,f2733700-aa5d-4df7-bc52-1876ab4fb479,Axe Hold,Arms,Dumbbell,,,CC-BY-SA 3,<p>Grab dumbbells and extend arms to side and hold as long as you can</p>
56,03db11cc-8079-463c-9399-6f346b100ce6,Abdominal Stabilization,Abs,Gym mat,Abs,Obliquus externus abdominis,CC-BY-SA 3,
805,ea63d85c-8579-4dda-b99f-c4c8930f9af6,Tricep Pushdown on Cable,Arms,,Triceps,,CC-BY-SA 4,"The cable rope push-down is a popular exercise targeting the triceps muscles. It's easy to learn and perform, making it a favorite for everyone from beginners to advanced lifters. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an upper-body or arm-focused workout."
981,9e6dae29-5d03-440a-bdf1-2cb25a5179c2,Step-ups,Legs,Bench,,,CC-BY-SA 4,<p>Starting position:</p><p>Stand facing a chair.</p><p>Steps:</p><ol><li>Step up onto the chair.</li><li>Step off the chair.</li><li>Repeat.</li></ol>
980,e872658a-3bac-4d9e-bcf2-15919ebea43a,commando pull-ups,Abs,Pull-up bar,Shoulders; Biceps; Lats; Trapezius,,CC-BY-SA 4,"variation of the pull-up exercise, it is performed with a grip of one hand supine and one hand prone,&nbsp;do not twist the torso to get back to the front, the head passes once to one side, once to the other."
1022,768e0703-a04d-4d97-89ce-a49cd6be2b06,Single Arm Plank to Row,Back,Kettlebell,Shoulders; Biceps; Brachialis; Lats; Obliquus externus abdominis; Abs; Serratus anterior,,CC-BY-SA 4,"Start position as row, extend to plank and back. Finish with row and repeat"
820,0ecd5f3a-f156-4f1b-b29e-16fb80802a50,Fingerboard 20 mm edge,Arms,,,,CC-BY-SA 4,Hang for 10 seconds on a fingerboard with a 20 mm edge
822,5d244235-cd56-472a-876e-6e530a899ef2,Cable Rear Delt Fly,Shoulders,,Shoulders; Trapezius,Triceps,CC-BY-SA 4,"<p style="""">The reverse cable fly, also known as the cable rear delt fly, is a deltoid muscle strengthening and definition exercise. It’s one of the best isolation exercises for your back and posterior deltoid.This workout targets your posterior (back) deltoids while using a range of upper body muscles.</p><p style=""""></p><ol><li>Adjust the weight and the pulleys to the right height. You should be able to see the pulleys because they should be above your head.</li><li>With your right hand, grab the left pulley, and with your left hand, grab the right pulley, crossing them in front of you. This is where you’ll begin your journey.</li><li>Start the movement by moving your arms back and forth while keeping your arms straight.</li><li>Pause at the finish of the move for a brief moment before returning the handles to their starting positions.</li></ol><p></p>"
828,70c99a4e-3340-4993-a7f1-2d2709dada1a,Incline Bench Reverse Fly - Hello,Back,Dumbbell,Shoulders; Trapezius,,CC-BY-SA 4,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more."
907,ed00a43f-f761-41f2-94d4-056120bc5f6d,Handstand Push Up,Shoulders,,Shoulders; Triceps,Chest,CC-BY-SA 4,Handstands Push Up which demand high level of skill
908,89c3d614-e841-4c04-bee8-6761567e4b7c,Zone 2 Running,Cardio,,,,CC-BY-SA 4,"Zone two Cardio for endurance, you should be able to speak while running"
923,dab7400b-e86e-4224-bcea-4a915dc928e0,LYING DUMBBELL ROW SS SEATED SHRUG,Back,Dumbbell,Lats,,CC-BY-SA 4,laying on the stomach on a bench with slight angle
927,e0d9e9ef-09ee-4d26-9504-622093810414,Suspended crossess,Cardio,none (bodyweight exercise),Chest,,CC-BY-SA 4,Suspension exercise with trx for chest training
958,596b9d2d-0f01-41a0-97e1-1839ffdb824d,Biceps with TRX,Abs,none (bodyweight exercise),Biceps,,CC-BY-SA 4,"Grab the handles of the TRX straps, lean your body back, arms and legs extended, with your body positioned in a single straight line. (This is an arm exercise, not an abdominal one.)"
960,d813ef7c-b10a-4c5c-ba55-6b9518e7ff4c,Kettlebell Swing,Abs,Kettlebell,Shoulders; Glutes,Quads; Abs; Trapezius,CC-BY-SA 4,"While kettlebell swings are a full-body workout, they mostly target the muscles along the posterior chain (back of the body). The main muscles used are the glutes, hamstrings, spinal erectors, and muscles of the upper back."
961,6c8b0c67-68af-4473-907e-31fb1e48430c,Swimming 50m sprints,Cardio,,,,CC-BY-SA 4,50m swimming sprints at 1min
962,95a300de-2ad8-492e-9364-13766d9e7618,Elliptical,Cardio,none (bodyweight exercise),Glutes; Quads; Trapezius,Biceps; Abs; Triceps,CC-BY-SA 4,"It improves muscle toning, strengthens the leg muscles (quads, glutes, calves), helps vascularisation and increases resistance. The elliptical is also very useful if you aim to lose weight."
975,d7d4fc16-08cd-4568-87e7-d9e4e2f77393,one-handed kettlebell curls,Arms,Kettlebell,Biceps,,CC-BY-SA 4,"Standing with the kettlebell in one hand and bent at the elbow, start from a fully extended position until your hand reaches shoulder height. To perform the movement correctly, try not to push with your back or body."
976,346634cf-3896-4c10-bd66-28fb69d02573,Medicine ball booklet crunch,Abs,none (bodyweight exercise),Abs,,CC-BY-SA 4,Using a medicine ball as an overload will make the exercise heavier.
977,151434a5-c046-459f-a3a9-c3125075856f,Box Squat,Abs,none (bodyweight exercise),Glutes; Quads; Soleus,,CC-BY-SA 4,"<ol><li><b>Set up the box: </b>Position the box behind you, about 3 feet from a squat rack if you're using a barbell. Choose a height that allows you to squat down and gently tap your glutes on the box with your back straight.</li><li><b>Stand with proper form: </b>Stand with your feet shoulder-width apart, toes pointed slightly outward. Engage your core and keep your back neutral. If using a barbell, rack it at shoulder height.</li><li><b>Lower down: </b>Sit back as if going to sit on a chair, bending your knees and lowering your hips towards the box. Keep your core tight and back straight throughout the movement.</li><li><b>Controlled descent: </b>Descend in a controlled manner until your glutes gently touch the box. Don't plop down.</li><li><b>Pause and press up: </b>Briefly pause at the bottom with your back straight and core engaged. Then, press through your heels to drive yourself back up to the starting position.</li></ol>
Improvements in coordination, balance and endurance, toning of the leg and buttock muscles and an overall increase in bone density eliminating the risk of osteoporosis."
978,f4991a98-6422-4884-8ad3-43412f91fac1,Knee Raises,Abs,Pull-up bar,Abs,Obliquus externus abdominis,CC-BY-SA 4,The 90° leg raise on the bar is a very intense exercise that involves all the abdominal muscles.
804,9f9edad8-7da0-448c-bfcb-ec61f2d28162,Sloper hanging,Arms,none (bodyweight exercise),,,CC-BY-SA 4,<p>Hanging on sloper holds of a fingerboard for a amount of seconds</p>
20,f24cb758-9c0d-42d4-ad9e-6025c527dd13,Arnold Shoulder Press,Shoulders,Dumbbell,,,CC-BY-SA 3,"<p>Very common shoulder exercise.</p>
<p> </p>
<p>As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM</p>"
43,dae6f6ed-9408-4e62-a59a-1a33f4e8ab36,Barbell Hack Squats,Legs,Barbell,,,CC-BY-SA 4,<p>Perform leg squats with barbell behind your legs</p>
801,68e5eae7-7fd0-4d69-9b50-d0df15feac91,Dumbbell Push-Up,Chest,Dumbbell,,,CC-BY-SA 4,"<p>Normal Push-ups on Dumbbells, this brings a further range of movement</p>"
12,53906cd1-61f1-4d56-ac60-e4fcc5824861,Seated Hip Adduction,Legs,,Glutes,,CC-BY-SA 3,
46,04e7d7e4-f8d2-406d-97df-3df3bceec22c,Barbell Lunges Standing,Legs,Barbell,Quads,Glutes,CC-BY-SA 4,"<p>Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg.</p>
<p>Remember to keep good posture.</p>"
802,072a9fa8-1028-47b3-b958-d8052c6b8661,Barbell Lunges Walking,Legs,Barbell,,,CC-BY-SA 4,
41,a6bced3c-72f5-42a3-9438-5569d46f49fd,Barbell Ab Rollout,Abs,Barbell,Obliquus externus abdominis,,CC-BY-SA 4,"<p>Place a barbell on the floor at your feet.</p>
<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>
<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>
<p>Roll back up raising your hips and butt as you return to the starting position.</p>"
50,13234b53-ea0c-41f1-9069-776865ea8eff,Barbell Triceps Extension,Arms,Barbell,Triceps,Shoulders; Chest,CC-BY-SA 4,"<p>Position barbell overhead with narrow overhand grip.</p>
<p>Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.</p>"
48,67c26c9b-32f3-4b8b-b13a-4d8be4803975,Barbell Reverse Wrist Curl,Arms,Barbell; Bench,,,CC-BY-SA 4,"<p>Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees.</p>
<p>Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>"
57,b7267f90-8706-442b-b918-507e16092b8e,Bear Walk,Chest,none (bodyweight exercise),Shoulders; Calves; Chest; Abs; Serratus anterior; Soleus; Triceps,Glutes; Lats; Obliquus externus abdominis; Quads; Trapezius,CC-BY-SA 4,"<p>-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position</p>
<p>-Move by stepping with your R palm and L foot, then your L palm and R foot.  Basically, walk like a lumbering bear.</p>
<p>-Move as fast as you can.  Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds)</p>
<p>-Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves</p>"
983,db5bd076-2f1d-4b72-9be9-610e5c3f5724,High knees,Cardio,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting positionStand straight.</p><p>Steps:</p><ol><li>Run in place, putting knees as high up as is comfortable and switching legs at a quick pace.</li></ol>"
984,3284fd27-5402-4821-9c32-29066d4e2667,Lunges,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand with back straight.</p><p>Steps:</p><ol><li>Take a large step forward with your left leg.</li><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Return to the starting position by stepping back.</li><li>Repeat, switching legs each time.</li></ol>"
821,a540925e-fe66-47cc-ae28-ecdce408fb6d,Pullup on fingerboard,Arms,none (bodyweight exercise),,,CC-BY-SA 4,Pullup on a choosen edge of a fingerboard / hangboard
985,a9633731-1d86-4b4a-996f-33a1dee0b0e1,Push-up rotations,Arms,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Get into the starting push-up position, with your hands and toes touching the ground and back, arms and legs straight. To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight.</p><p>Steps:</p><ol><li>Perform a standard push-up:</li></ol><p>1.a Bend arms until chest almost touches the ground, making sure the back is straight.1.b Use your arms to lift yourself back up to starting position.</p><ol start=""2""><li>Rotate your body to the side so that the back is straight, the bottom hand supporting the body is fully extended, and only the bottom hand and foot touch the floor.</li><li>Repeat, changing sides at step 2 each time.</li></ol>"
986,9801e20b-69c3-43d0-9066-450a68230c42,Side split squats left,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><ol><li>Stand tall and take a wide lateral stride, just greater than shoulder width.</li></ol><p>Steps:</p><ol><li>Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot.</li><li>Push back to the starting position.</li><li>Repeat.</li></ol>"
987,fa9838ed-84e8-476c-8157-1774a9c90aff,Side split squats right,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><ol><li>Stand tall and take a wide lateral stride, just greater than shoulder width.</li></ol><p>Steps:</p><ol><li>Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot.</li><li>Push back to the starting position.</li><li>Repeat.</li></ol>"
988,7ce489d2-1948-46de-aa80-277b2ca737aa,Bulgarian split squats left,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<ol><li>Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair.</li><li>Bend the front knee, balancing with arms until the back knee almost touches the ground.</li><li>Push back to the starting position and repeat.</li></ol>"
989,44afe80f-1ab2-4149-adbf-d8e0ece990ce,Bulgarian split squats right,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<ol><li>Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair.</li><li>Bend the front knee, balancing with arms until the back knee almost touches the ground.</li><li>Push back to the starting position and repeat.</li></ol>"
990,6ddea666-5a57-4ac0-926f-01f8cfdaa4fd,Kneeling kickbacks,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Get down on all fours.</p><p>Steps:</p><ol><li>Push one foot back until fully extended, concentrating on the gluteus muscles.</li><li>Stay for one second, then return to the initial position.</li><li>Repeat, alternating feet.</li></ol>"
991,80d83f98-efe5-4d87-a403-c0feadc8650f,Split squats left,Legs,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Stand with your back straight. Take a large step forward with your left leg.</p><p>Steps:</p><ol><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Repeat.</li></ol>
909,6cbdd70c-0691-4288-b58a-24001384f1b3,Reverse Nordic Curl,Legs,,Quads,Glutes; Abs,CC-BY-SA 4,Natural Leg Extension is alternative to Leg Extension machine with no equipment.&nbsp;&nbsp;
912,36274d27-3812-4b8c-80e2-ab59acf82c4d,Straight Bar Cable Curls,Arms,,Biceps,,CC-BY-SA 4,Standing upright in front of Cable Tower using a straight bar
924,40d35363-0579-4f0f-aac6-a32a6de3f08a,Cable Fly,Chest,,Chest,,CC-BY-SA 4,"cable machine, two steps forward, straight back"
992,1d8599d8-59a5-4faf-a9cf-b81639cbf68b,Split squats right,Legs,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Stand with your back straight. Take a large step forward with your left leg.</p><p>Steps:</p><ol><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Repeat.</li></ol>
993,cd51aa2a-52b3-43df-8011-0c8ef4b7ed11,Jump rope: basic jumps,Cardio,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Put your feet close together, bend the knees a bit, keep your head and body straight, keep elbows in, open your arms.</p><p>Steps:</p><ol><li>Spin only your wrists with enough force to make the rope spin.</li><li>Jump just high enough to pass the rope below your feet.</li><li>Repeat.</li></ol><p>Notes:</p><p>This exercise requires a jump rope. Make sure the rope length is adjusted to your height. One way to check is to grab both handles with one hand and stand on the middle of the rope hanging on the ground with one foot. If the rope (excluding the handles) reaches just below your chest, its length is right. A shorter rope would be hazardous, as you might hit yourself, and a longer rope would make for bad form.</p>"
959,e2599e86-d8b0-434e-8a48-aa3c2df7e790,TRX Rows,Abs,none (bodyweight exercise),Shoulders; Biceps; Lats,,CC-BY-SA 4,This exercise serves as a lead-up to Pull Ups.
979,b2025776-2397-4de7-a49e-296321169481,Leg raises pull up bar,Abs,Pull-up bar,Abs,Obliquus externus abdominis; Quads,CC-BY-SA 4,"with a firm grip with both hands on the bar, raise your outstretched legs, until you reach a 90° angle with your torso."
994,9d9c4c9f-045f-4af5-adf2-8bb07c3516dc,Forward arm circles,Arms,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand tall with your back straight.</p><p>Steps:</p><ol><li>Keeping your arms straight, bring them in front of you, move them down, behind your back, then over your head, and back to the initial position.</li><li>Keep circling your arms as described in step 1.</li></ol>"
995,69b3da17-11cc-41fe-bbc1-ee6c45ced41c,Backward arm circles,Arms,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand tall with your back straight.</p><p>Steps:</p><ol><li>Keeping your arms straight, bring them in front of you, raise them over your head, then continue the motion behind your back and down to the initial position.</li><li>Keep circling your arms as described in step 1.</li></ol>"
996,53324f8e-df38-456f-9b7d-8f3a43f45f31,Mountain climbers,Chest,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Start in the upright push-up position, aka. the high plank position.Hands should be directly under your shoulders.Keep your head in line with your back, facing the floor.Feet should be about hip-width apart.</p><p>Steps:</p><ol><li>Move one knee toward the center of your body, towards your elbows, keeping the other leg extended.</li><li>In a quick jumping movement, straighten the bent leg out and pull the other knee toward your body.</li><li>Keep repeating step 2, alternating legs.</li></ol><p>Notes:</p><p>Throughout the exercise, your back should remain as straight as possible – avoid a hump or a sagging back.</p>"
997,18d277a0-7222-46e7-b2bf-47c8ed169c30,4-count burpees,Chest,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight.</li><li>Keeping your hands on the floor, jump your legs backward into high plank position.</li><li>Jump your feet forward to return to the squat position.</li><li>Repeat.</li></ol>"
998,853e4429-da4a-492d-b042-5c124282c005,No push-up burpees,Chest,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight.</li><li>Keeping your hands on the floor, jump your legs backward into high plank position.</li><li>Jump your feet forward to return to the squat position.</li><li>Jump up.</li><li>Repeat.</li></ol>"
999,616f9026-1a1d-4ed8-b068-cfbb81b6a000,Reverse lunges,Legs,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Step backward with one leg so it can bend comfortably to a 90 degree angle.</li><li>Slowly bend both knees to form 90 degree angles.</li><li>Return to the starting position.</li><li>Repeat, alternating legs.</li></ol>"
1000,cf79d9fb-ffce-4648-a64f-27e4274e4c20,Floor dips,Arms,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Sit with your arms behind you, supporting your back.Your fingers should point forward.Your knees should be bent, feet together.</p><p>Steps:</p><ol><li>Raise your hips off the ground, straightening your arms.</li><li>Bend your elbows, bringing your hips down.</li><li>Straighten your arms, returning to the previous position.</li><li>Repeat steps 2 and 3.</li></ol><p>Notes:</p><p>The exercise's difficulty depends on how high you bring your hips.</p>"
1001,b2b40a54-e42b-49ec-97da-4c929ae41d42,High plank,Chest,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Get into the high plank position:your hands and toes should be touching the ground, your back, arms and legs should be straight.To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight.</p><p>Steps:</p><ol><li>Maintain the starting position for the entire duration of the exercise.</li></ol>"
1002,6e1af72c-f9f5-490d-8977-564df4f24b6f,Child's pose,Back,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Start on all fours, knees, toes, and hands touching the ground. Your two big toes should be touching.</p><p>Steps:</p><ol><li>Move your knees so that they're about hip-width apart.</li><li>On an exhale, move your pelvis back to sit on your heels. Your hands should still be touching the ground.</li><li>Relax your upper body, lowering your forehead to the floor and letting your hands move forward naturally.</li><li>Stay in this pose.</li></ol><p>Tips:</p><ul><li>To leave the pose, walk your arms back under your shoulders and move your upper body up into a seated position.</li></ul>"
1003,9b5f8c6e-2436-4ded-aea9-8c698b0c8768,Kettlebell deadlifts,Back,Kettlebell,,,CC-BY-SA 4,"<p>Starting position:</p><p>Stand hip-width apart, with your kettlebell centered between your ankles. Your back should be straight, your head facing forward.</p><p>Steps:</p><ol><li>Hinge at the hips and slightly bend at the knees to put your hands on the kettlebell handles. Your back should be straight as you perform the movement.</li><li>Grab the kettlebell handles, with your hands pushing in opposite directions as if to pull the handle apart.</li><li>While contacting your abs and glutes, stand straight up.</li><li>Hinge at the hips again to bring the kettlebell back down, similarly to step 1.</li><li>Repeat from step 3.</li></ol><p>Tips:</p><ul><li>Be sure you're performing the movements correctly, as doing otherwise can lead to injury. For example, do not squat instead of hinging at the hips, do not round your back while reaching for the kettlebell, and do not lean back while standing up.</li></ul>"
