date,steps,exercise_minutes,calories_active,calories_resting,calories_total,stand_minutes,distance_m,source
2025-08-28,2853,5,337,2008,2345,41,2102,apple_shortcut
2025-08-29,2067,4,332,1991,2323,49,1481,apple_shortcut
2025-08-30,10716,36,688,2110,2798,142,7868,apple_shortcut
2025-08-31,6391,18,480,2043,2523,104,4666,apple_shortcut
2025-09-01,5435,86,878,1880,2758,102,4005,apple_shortcut
2025-09-02,6347,81,1131,2050,3181,143,5005,apple_shortcut
2025-09-03,8628,68,776,2101,2877,123,6252,apple_shortcut
2025-09-04,3232,71,797,2077,2874,77,2356,apple_shortcut
2025-09-05,6144,69,1092,2077,3169,129,5026,apple_shortcut
2025-09-06,10017,45,706,2094,2800,153,7435,apple_shortcut
