date,sleep_asleep_min,sleep_awake_min,sleep_core_min,sleep_deep_min,sleep_in_bed_min,sleep_rem_min,source
2025-08-28,408,15,258,50,423,100,apple_shortcut
2025-08-29,307,4,184,40,311,83,apple_shortcut
2025-08-30,391,4,268,28,395,95,apple_shortcut
2025-08-31,367,15,240,29,382,98,apple_shortcut
2025-09-01,328,7,206,55,335,67,apple_shortcut
2025-09-02,363,6,219,54,369,90,apple_shortcut
2025-09-03,330,4,212,30,334,88,apple_shortcut
2025-09-04,292,3,187,38,295,67,apple_shortcut
2025-09-05,330,5,212,40,335,78,apple_shortcut
2025-09-06,322,66,234,26,388,62,apple_shortcut
2025-09-07,472,5,317,28,477,127,apple_shortcut
