date,weight_kg,body_fat_pct,muscle_mass_kg,water_pct,source,notes
2025-07-13,,,,,withings,
2025-07-14,91.20,28.91,,,withings,
2025-07-15,91.05,27.94,,,withings,
2025-07-16,90.60,30.07,,,withings,
2025-07-17,89.85,29.44,,,withings,
2025-07-18,89.65,29.67,,,withings,
2025-07-19,,,,,withings,
2025-07-20,90.50,29.06,,,withings,
2025-07-21,90.65,29.23,,,withings,
2025-07-22,90.25,29.48,,,withings,
2025-07-23,89.75,29.38,,,withings,
2025-07-24,,,,,withings,
2025-07-25,90.50,28.99,,,withings,
2025-07-26,,,,,withings,
2025-07-27,91.20,28.47,,,withings,
2025-07-28,90.85,29.14,,,withings,
2025-07-29,,,,,withings,
2025-07-30,90.00,28.90,,,withings,
2025-07-31,,,,,withings,
2025-08-01,,,,,withings,
2025-08-02,,,,,withings,
2025-08-03,,,,,withings,
2025-08-04,,,,,withings,
2025-08-05,91.20,28.92,,,withings,
2025-08-06,90.75,30.75,,,withings,
2025-08-07,,,,,withings,
2025-08-08,,,,,withings,
2025-08-09,,,,,withings,
2025-08-10,,,,,withings,
2025-08-11,,,,,withings,
2025-08-12,91.45,29.15,,,withings,
2025-08-13,,,,,withings,
2025-08-14,,,,,withings,
2025-08-15,,,,,withings,
2025-08-16,,,,,withings,
2025-08-17,,,,,withings,
2025-08-18,,,,,withings,
2025-08-19,91.15,28.30,,,withings,
2025-08-20,,,,,withings,
2025-08-21,,,,,withings,
2025-08-22,,,,,withings,
2025-08-23,,,,,withings,
2025-08-24,,,,,withings,
2025-08-25,,,,,withings,
2025-08-26,,,,,withings,
2025-08-27,91.30,28.54,,,withings,
2025-08-28,91.00,28.58,,,withings,
2025-08-29,91.40,31.11,,,withings,
2025-08-30,91.45,30.63,,,withings,
2025-08-31,91.95,31.40,,,withings,
2025-09-01,91.55,31.73,,,withings,
2025-09-02,90.90,32.17,,,withings,
2025-09-03,90.05,32.66,,,withings,
2025-09-04,89.40,30.86,,,withings,
