date,exercise_name,category,reps,weight_kg
2025-09-02T00:00:00+02:00,Bulgarian split squats left,Legs,10.00,28.00
2025-09-02T00:00:00+02:00,Romanian Deadlift,Legs,15.00,40.00
2025-09-02,Romanian Deadlift,Legs,15,40.0
2025-09-02,Bulgarian split squats left,Legs,10,28.0
2025-09-04,Triceps Pushdown,Arms,15,15.0
2025-09-04,Lateral Raises,Shoulders,15,8.0
2025-09-04,Overhead Press,Chest,8,30.0
2025-09-04,Overhead Press,Chest,6,30.0
2025-09-04,Overhead Press,Chest,7,30.0
2025-09-04,Lat Pull DB,Back,12,24.0
2025-09-04,Lat Pull DB,Back,10,24.0
